month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01T00:00:00.000,Queens,2,SBS,Q44+,Off-Peak,25421.68,2300,11.051662
2020-01-01T00:00:00.000,Queens,2,SBS,Q44+,Peak,8195.411,780,10.502333
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q46,Off-Peak,46379.574,3952,11.732916
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q46,Peak,26096.16,2366,11.028347
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q46,Off-Peak,14643.78,1151,12.7161255
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q46,Peak,5811.824,480,12.09436
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q47,Off-Peak,13678.615,1882,7.2657785
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q47,Peak,9077.089,1395,6.503406
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q47,Off-Peak,3359.628,442,7.5843096
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q47,Peak,1377.104,189,7.2777824
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q48,Off-Peak,10031.339,986,10.172628
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q48,Peak,3821.749,423,9.0259
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q48,Off-Peak,3838.513,350,10.945368
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q48,Peak,1418.781,136,10.374829
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q49,Off-Peak,7487.508,1177,6.360356
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q49,Peak,4659.8027,809,5.753597
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q49,Off-Peak,2904.796,442,6.5587792
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q49,Peak,1152.933,191,6.024479
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q5,Off-Peak,29093.873,3253,8.94227
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q5,Peak,13068.465,1637,7.979069
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q5,Off-Peak,9905.1045,1013,9.7754755
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q5,Peak,3669.812,399,9.182667
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q50,Off-Peak,18786.127,1390,13.511216
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q50,Peak,8853.513,704,12.575701
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q50,Off-Peak,5911.857,415,14.215058
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q50,Peak,2330.583,170,13.671715
2020-01-01T00:00:00.000,Queens,1,SBS,Q52+,Off-Peak,21545.922,1494,14.421501
2020-01-01T00:00:00.000,Queens,1,SBS,Q52+,Peak,10443.328,780,13.388029
2020-01-01T00:00:00.000,Queens,2,SBS,Q52+,Off-Peak,8597.269,590,14.561138
2020-01-01T00:00:00.000,Queens,2,SBS,Q52+,Peak,3309.697,231,14.318396
2020-01-01T00:00:00.000,Queens,1,SBS,Q53+,Off-Peak,37438.27,2962,12.639056
2020-01-01T00:00:00.000,Queens,1,SBS,Q53+,Peak,16983.504,1453,11.687674
2020-01-01T00:00:00.000,Queens,2,SBS,Q53+,Off-Peak,15869.02,1276,12.434977
2020-01-01T00:00:00.000,Queens,2,SBS,Q53+,Peak,5651.32,473,11.943922
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q54,Off-Peak,26715.336,3443,7.757999
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q54,Peak,9131.978,1385,6.5903707
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q54,Off-Peak,8950.652,1008,8.877134
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q54,Peak,3067.0469,369,8.295781
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q55,Off-Peak,12094.073,1545,7.822869
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q55,Peak,5420.064,828,6.54256
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q55,Off-Peak,4326.351,514,8.410461
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q55,Peak,1617.442,204,7.89728
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q56,Off-Peak,15576.864,2258,6.896438
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q56,Peak,5481.616,957,5.7225018
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q56,Off-Peak,6292.702,808,7.781783
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q56,Peak,2147.906,296,7.2323923
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q58,Off-Peak,54561.17,7075,7.711278
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q58,Peak,24421.885,3544,6.8895464
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q58,Off-Peak,20058.209,2502,8.014117
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q58,Peak,8151.532,1036,7.8677783
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q59,Off-Peak,15453.434,1977,7.814373
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q59,Peak,6881.431,1033,6.65996
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q59,Off-Peak,6649.253,774,8.583253
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q59,Peak,2529.472,322,7.837734
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q6,Off-Peak,19997.52,2597,7.6985807
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q6,Peak,8146.868,1191,6.838667
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q6,Off-Peak,7043.696,820,8.586409
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q6,Peak,2830.408,342,8.262859
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q60,Off-Peak,32440.666,4150,7.816672
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q60,Peak,12747.885,1848,6.896955
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q60,Off-Peak,12566.574,1507,8.333642
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q60,Peak,4299.108,550,7.810229
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q64,Off-Peak,10780.083,1232,8.745458
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q64,Peak,7029.775,949,7.4005013
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q64,Off-Peak,3368.973,360,9.350978
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q64,Peak,1215.882,140,8.663609
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q65,Off-Peak,33539.36,4143,8.094255
